date,cpi_semiannual
2022-07-01,296.963
2022-01-01,288.347
2021-07-01,275.703
2021-01-01,266.236
2020-07-01,260.065
2020-01-01,257.557
2019-07-01,256.903
2019-01-01,254.412
2018-07-01,252.125
2018-01-01,250.089
2017-07-01,246.163
2017-01-01,244.076
2016-07-01,241.237
2016-01-01,238.778
2015-07-01,237.769
2015-01-01,236.265
2014-07-01,237.088
2014-01-01,236.384
2013-07-01,233.548
2013-01-01,232.366
2012-07-01,230.338
2012-01-01,228.85
2011-07-01,226.28
2011-01-01,223.598
2010-07-01,218.576
2010-01-01,217.535
2009-07-01,215.935
2009-01-01,213.139
2008-07-01,216.177
2008-01-01,214.429
2007-07-01,208.976
2007-01-01,205.709
2006-07-01,202.6
2006-01-01,200.6
2005-07-01,197.4
2005-01-01,193.2
2004-07-01,190.2
2004-01-01,187.6
2003-07-01,184.6
2003-01-01,183.3
2002-07-01,180.9
2002-01-01,178.9
2001-07-01,177.5
2001-01-01,176.6
2000-07-01,173.6
2000-01-01,170.8
1999-07-01,167.8
1999-01-01,165.4
1998-07-01,163.7
1998-01-01,162.3
1997-07-01,161.2
1997-01-01,159.9
1996-07-01,157.9
1996-01-01,155.8
1995-07-01,153.2
1995-01-01,151.5
1994-07-01,149.3
1994-01-01,147.2
1993-07-01,145.3
1993-01-01,143.7
1992-07-01,141.4
1992-01-01,139.2
1991-07-01,137.2
1991-01-01,135.2
1990-07-01,132.6
1990-01-01,128.7
1989-07-01,125.3
1989-01-01,122.7
1988-07-01,119.7
1988-01-01,116.8
1987-07-01,114.9
1987-01-01,112.4
1986-07-01,110.1
1986-01-01,109.1
1985-07-01,108.5
1985-01-01,106.6
1984-07-01,104.9
1984-01-01,102.9
